"full_name","country_code","role","season","team","mins_played","xG","goals","xA","assists","xT","xT_from_passes","xT_from_carries","won_dribblings","attempted_dribblings","won_dribblings_ratio","offensive_aero"
Stiven Shpendi,ALB,FW,2023,Empoli,394,0.6754196,,0.2659491,1,0.0240153,0.0404074,-0.0163921,2,7,0.2857,38.4601
Cyril Ngonge,BEL,WAM,2023,Verona,1436,4.5275958,6,1.7946292,2,0.914871,0.2239184,0.6909526,29,62,0.4677,48.944
Jordi Mboula,ESP,WAM,2023,Verona,304,0.421013,,0.3010777,1,0.230733,0.0395607,0.1911723,2,4,0.5000,49.0933
Riccardo Saponara,ITA,WAM,2023,Verona,336,0.1438613,,0.1450546,,0.08668,-0.0096429,0.0963229,4,8,0.5000,49.0797
Milan Djuric,BIH,FW,2023,Verona,1207,4.9393506,5,0.5449127,1,0.3759477,-0.0681157,0.4440634,2,3,0.6667,89.5288
Federico Bonazzoli,ITA,FW,2023,Verona,667,1.2568248,1,0.4080063,1,-0.1242915,0.0037303,-0.1280218,6,9,0.6667,49.7098
Giuseppe Caso,ITA,WAM,2023,Frosinone,409,0.308597,,0.2177484,,0.4372491,0.2157282,0.2215209,15,33,0.4545,24.8346
Marvin Çuni,ALB,FW,2023,Frosinone,470,1.0647988,1,0.1277023,,0.0138379,-0.007457,0.0212949,3,10,0.3000,52.0782
Jaime Báez,URY,WAM,2023,Frosinone,501,0.4613982,1,0.8765672,,0.4101781,0.2636231,0.146555,5,8,0.6250,48.4459
Luca Garritano,ITA,WAM,2023,Frosinone,480,1.1729855,,0.4295335,,0.306395,0.2027768,0.1036182,,5,,29.9634
Luigi Canotto,ITA,WAM,2023,Frosinone,15,0.0,,0.000221,,0.0031132,0.0031132,0.0,1,1,1.0000,
Gennaro Borrelli,ITA,FW,2023,Frosinone,23,0.0,,0.0,,-0.0045547,0.0,-0.0045547,,,,57.8915
Giorgi Kvernadze,GEO,WAM,2023,Frosinone,59,0.0,,0.0095491,,0.0020306,-0.0161817,0.0182123,3,5,0.6000,
Victor Osimhen,NGA,FW,2023,Napoli,1338,10.0714155,11,0.8011913,3,0.3318107,0.0840073,0.2478034,8,25,0.3200,74.373
Matteo Politano,ITA,WAM,2023,Napoli,1791,5.335485,6,4.4167462,5,3.0326932,1.8932372,1.139456,27,57,0.4737,33.698
Giacomo Raspadori,ITA,FW,2023,Napoli,1393,5.3617493,4,2.8353158,3,-0.0316134,-0.1719123,0.1402989,13,27,0.4815,37.8828
Giovanni Simeone,ARG,FW,2023,Napoli,633,3.4213342,1,0.5613674,,-0.2033463,-0.1240856,-0.0792607,5,10,0.5000,50.9271
Eljif Elmas,MKD,WAM,2023,Napoli,331,0.4539138,2,0.3229867,,0.3112208,0.1084461,0.2027747,6,14,0.4286,29.2596
Alessio Zerbin,ITA,WAM,2023,Napoli,145,0.2340497,,0.4386484,,0.06324,-0.001807,0.065047,2,3,0.6667,37.3881
Marcus Thuram,FRA,FW,2023,Internazionale,2023,12.5012954,10,3.0701388,7,0.9787029,0.2380808,0.7406221,27,37,0.7297,72.1196
Lautaro Martínez,ARG,FW,2023,Internazionale,2115,15.5852733,23,2.0373106,2,1.1562185,0.1007378,1.0554807,14,46,0.3043,61.6372
Marko Arnautovic,AUT,FW,2023,Internazionale,588,3.8185909,2,1.9541754,3,0.9727137,0.5527781,0.4199356,1,6,0.1667,52.7625
Mirko Maric,HRV,FW,2023,Monza,279,0.9603665,1,0.1693839,,-0.2504952,-0.3370101,0.0865149,1,4,0.2500,47.1997
Samuele Vignato,ITA,FW,2023,Monza,339,1.2775285,1,0.2137855,,0.354275,0.0401349,0.3141401,5,9,0.5556,40.7637
Dany Mota,PRT,FW,2023,Monza,1759,5.1143182,4,2.3404518,2,1.2171242,0.2421009,0.9750233,11,31,0.3548,50.367
Albert Gudmundsson,ISL,WAM,2023,Genoa,2398,7.1797189,10,5.561243,3,2.8017476,1.7046824,1.0970652,38,73,0.5205,39.744
Mateo Retegui,ITA,FW,2023,Genoa,1694,5.3114077,6,0.5523422,2,-0.4418831,-0.3127439,-0.1291392,9,24,0.3750,66.9146
George Puscas,ROU,FW,2023,Genoa,185,2.5813492,,0.0792038,,0.0484253,-0.3607139,0.4091392,1,3,0.3333,78.1009
Caleb Ekuban,GHA,FW,2023,Genoa,716,1.4847304,2,0.6918184,1,0.3567248,0.0950245,0.2617003,8,17,0.4706,56.0637
Josip Brekalo,HRV,WAM,2023,Fiorentina,654,0.7075885,1,0.667075,,0.4293496,0.1053833,0.3239663,8,17,0.4706,38.8069
Nicolás González,ARG,WAM,2023,Fiorentina,1420,8.0071162,7,2.3132963,2,2.0375037,1.4159989,0.6215048,27,62,0.4355,57.0148
M'Bala Nzola,AGO,FW,2023,Fiorentina,1272,4.6209156,2,1.3409049,2,0.291435,-0.2038267,0.4952617,12,24,0.5000,52.7208
Lucas Beltrán,ARG,FW,2023,Fiorentina,1321,3.3536412,6,1.7048797,1,-0.1746559,-0.0300103,-0.1446456,9,23,0.3913,32.8373
Gino Infantino,ARG,WAM,2023,Fiorentina,78,0.0283398,,0.0210735,,0.010624,0.0051574,0.0054666,3,3,1.0000,43.1893
Riccardo Sottil,ITA,WAM,2023,Fiorentina,833,1.6795804,1,0.7786687,1,0.7496032,0.15541,0.5941932,15,31,0.4839,48.7873
Grégoire Defrel,FRA,FW,2023,Sassuolo,448,0.2598118,,0.8532045,1,0.4466846,0.3488324,0.0978522,1,5,0.2000,27.9473
Armand Laurienté,FRA,WAM,2023,Sassuolo,2300,3.7461904,1,3.759671,4,2.8516821,1.4572687,1.3944134,50,91,0.5495,42.5034
Andrea Pinamonti,ITA,FW,2023,Sassuolo,2373,7.7324772,9,1.2387162,,0.1746731,-0.0016413,0.1763144,12,24,0.5000,52.766
Samuele Mulattieri,ITA,FW,2023,Sassuolo,265,1.0055961,,0.3471317,,0.2480109,0.0764228,0.1715881,5,10,0.5000,48.9049
Emil Ceïde,NOR,WAM,2023,Sassuolo,130,0.1208342,,0.2948955,,0.2547582,0.1177944,0.1369638,12,19,0.6316,52.2963
Ademola Lookman,NGA,WAM,2023,Atalanta,1317,7.9611762,8,2.8169641,3,2.2511542,1.1185236,1.1326306,26,49,0.5306,41.0056
Gianluca Scamacca,ITA,FW,2023,Atalanta,973,5.1796874,6,1.2315494,3,0.2460429,-0.0368642,0.2829071,14,21,0.6667,65.1756
Charles De Ketelaere,BEL,FW,2023,Atalanta,1579,4.8059263,6,3.5939976,6,1.1984806,1.0636319,0.1348487,31,57,0.5439,68.8626
Luis Muriel,COL,FW,2023,Atalanta,395,1.7074793,2,1.63021,1,0.708199,0.3527542,0.3554448,7,18,0.3889,42.2981
Andrea Belotti,ITA,FW,2023,Roma,674,2.8194475,3,1.166348,2,0.5864546,0.173563,0.4128916,8,15,0.5333,56.3852
Stephan El Shaarawy,ITA,WAM,2023,Roma,1383,1.7026415,3,1.7561345,3,1.3085252,0.5297902,0.778735,17,42,0.4048,54.6943
Antonio Candreva,ITA,WAM,2023,Salernitana,2318,2.842177,5,3.8131069,6,1.9532335,1.5683654,0.3848681,13,28,0.4643,39.0785
Boulaye Dia,SEN,FW,2023,Salernitana,1143,4.0569045,4,0.7452771,,0.8099383,0.0615395,0.7483988,14,42,0.3333,31.118
Gabriel Strefezza,BRA,WAM,2023,Lecce,1118,2.1770823,1,1.0940213,,0.9632045,0.6758397,0.2873648,15,30,0.5000,36.2046
Lameck Banda,ZMB,WAM,2023,Lecce,1284,3.758418,2,1.2822283,4,0.9902834,0.0589389,0.9313445,41,86,0.4767,27.4167
Pontus Almqvist,SWE,WAM,2023,Lecce,1780,2.4405999,2,1.3224165,,1.5628567,0.5053341,1.0575226,34,74,0.4595,46.8859
Rares Burnete,ROU,FW,2023,Lecce,7,0.0,,0.0003386,1,-0.0038111,-0.0068774,0.0030663,,,,
Jeppe Corfitzen,DNK,WAM,2023,Lecce,8,0.0,,0.0003428,,0.0009358,-0.002473,0.0034088,,,,50.0
Federico Di Francesco,ITA,WAM,2023,Lecce,14,0.1230353,1,0.0383586,,0.036058,0.0256029,0.0104551,,1,,
Felipe Anderson,BRA,WAM,2023,Lazio,2155,3.3150568,3,4.6549655,6,2.6414849,1.5914105,1.0500744,34,81,0.4198,34.9835
Mattia Zaccagni,ITA,WAM,2023,Lazio,1588,4.7469664,4,2.344913,,1.7480899,0.4374295,1.3106604,48,80,0.6000,36.5207
Ciro Immobile,ITA,FW,2023,Lazio,1427,9.6151927,6,1.523467,1,-0.1503227,-0.1310342,-0.0192885,6,22,0.2727,44.6026
Valentín Castellanos,ARG,FW,2023,Lazio,1127,5.5345031,4,1.1117214,3,0.1200652,0.1093233,0.0107419,10,29,0.3448,67.6105
Gustav Isaksen,DNK,WAM,2023,Lazio,925,1.7373381,2,2.1222992,1,0.9112986,0.5935254,0.3177732,14,35,0.4000,53.3445
Pedro,ESP,WAM,2023,Lazio,611,1.1697648,1,1.4851947,,0.8233635,0.5466044,0.2767591,11,22,0.5000,30.3846
Beto,PRT,FW,2023,Udinese,74,0.0,,0.032926,,-0.0516404,-0.0111915,-0.0404489,2,3,0.6667,62.5793
Florian Thauvin,FRA,WAM,2023,Udinese,1534,5.1563206,4,3.9135029,3,2.9815815,1.7794776,1.2021039,34,74,0.4595,56.6814
Lorenzo Lucca,ITA,FW,2023,Udinese,1963,6.510965,7,0.4192461,3,-0.3158271,-0.0478723,-0.2679548,8,25,0.3200,61.6029
Domingos Quina,PRT,WAM,2023,Udinese,12,0.0,,0.0000795,,0.0028169,0.0028169,0.0,,,,
Marley Aké,FRA,WAM,2023,Udinese,9,0.0,,0.0,,0.0,0.0,0.0,,,,44.4246
Vivaldo Semedo,PRT,FW,2023,Udinese,11,0.0,,0.0,,0.0,0.0,0.0,,,,
Isaac Success,NGA,FW,2023,Udinese,759,2.5866985,,0.5115373,1,0.5102275,0.1950779,0.3151496,15,29,0.5172,64.7231
Timothy Weah,USA,WAM,2023,Juventus,885,1.3567946,,1.1438744,1,0.5009896,0.2110119,0.2899777,3,6,0.5000,52.318
Federico Chiesa,ITA,WAM,2023,Juventus,1597,6.0318983,7,4.387338,1,2.9972587,1.7908675,1.2063912,27,63,0.4286,24.3875
Dusan Vlahovic,SRB,FW,2023,Juventus,1769,15.2089298,15,1.4646664,4,0.7945332,-0.2562958,1.050829,14,28,0.5000,55.3736
Arkadiusz Milik,POL,FW,2023,Juventus,731,4.5380111,3,0.8871768,1,0.4018203,-0.1076262,0.5094465,5,8,0.6250,53.2604
Kenan Yildiz,TUR,FW,2023,Juventus,606,0.8924472,1,1.2516209,,0.9248329,0.4762011,0.4486318,17,25,0.6800,52.6792
Yann Karamoh,FRA,WAM,2023,Torino,153,0.1593762,,0.2623572,,0.2826948,0.1242386,0.1584562,6,17,0.3529,32.4951
Antonio Sanabria,PRY,FW,2023,Torino,1677,7.431313,4,0.8756236,,0.1075552,-0.2042201,0.3117753,9,23,0.3913,47.6514
Pietro Pellegri,ITA,FW,2023,Torino,562,0.5351913,,0.0201901,,-0.191217,-0.1008753,-0.0903417,3,8,0.3750,40.3772
Nemanja Radonjic,SRB,WAM,2023,Torino,373,1.6635659,3,0.3033443,,0.3422217,-0.0074743,0.349696,10,21,0.4762,43.8352
Gaetano Oristanio,ITA,WAM,2023,Cagliari,935,1.6289297,2,1.0437578,1,0.230934,0.1445319,0.0864021,28,50,0.5600,44.658
Zito Luvumbo,AGO,WAM,2023,Cagliari,1385,3.1499115,4,2.4144856,3,1.3583417,0.4459284,0.9124133,22,49,0.4490,28.1801
Eldor Shomurodov,UZB,FW,2023,Cagliari,443,2.0454193,2,0.5296545,2,0.2951071,0.1104664,0.1846407,6,12,0.5000,51.7756
Leonardo Pavoletti,ITA,FW,2023,Cagliari,620,2.7600696,4,0.3698155,1,0.159306,-0.0463041,0.2056101,,,,65.0331
Jakub Jankto,CZE,WAM,2023,Cagliari,849,1.3213446,1,0.4386153,2,0.2638956,0.0731544,0.1907412,1,3,0.3333,31.4867
Dan Ndoye,CHE,WAM,2023,Bologna,1325,2.4748197,,1.265932,1,1.3775769,0.3092359,1.068341,27,66,0.4091,43.9765
Joshua Zirkzee,NLD,FW,2023,Bologna,2264,7.7255091,11,2.2148004,3,1.0185413,0.5871462,0.4313951,40,101,0.3960,46.8025
Sydney van Hooijdonk,NLD,FW,2023,Bologna,207,0.5426193,,0.0278182,,0.2284697,-0.0289164,0.2573861,2,2,1.0000,49.1501
Riccardo Orsolini,ITA,WAM,2023,Bologna,1381,6.5903242,9,2.3893324,2,1.4429939,0.4707,0.9722939,25,55,0.4545,50.5838
Kacper Urbanski,POL,WAM,2023,Bologna,584,1.2758766,,0.4863498,,0.2335186,0.0733872,0.1601314,17,26,0.6538,47.8984
Christian Pulisic,USA,WAM,2023,Milan,1983,6.6166496,9,3.7202074,6,2.1894762,0.3538176,1.8356586,37,78,0.4744,38.3025
Rafael Leão,PRT,WAM,2023,Milan,1901,4.1993628,4,5.7084857,7,4.3197421,2.4565638,1.8631783,53,97,0.5464,60.127
Olivier Giroud,FRA,FW,2023,Milan,1851,11.1463133,12,2.1697769,8,-0.3931058,-0.1457946,-0.2473112,3,7,0.4286,59.9577
Luka Romero,ARG,WAM,2023,Milan,86,0.1013977,,0.0923291,,0.0423634,0.0266573,0.0157061,1,3,0.3333,48.3328
Samuel Chukwueze,NGA,WAM,2023,Milan,629,1.2276081,1,1.1310456,1,1.2047798,0.6238028,0.580977,12,39,0.3077,35.4042
Noah Okafor,CHE,WAM,2023,Milan,672,3.4432435,5,0.3558716,1,0.3941465,0.0464315,0.347715,12,27,0.4444,54.5692
Nicolò Cambiaghi,ITA,WAM,2023,Empoli,2084,3.1193199,,2.4645082,1,1.2573808,0.0846014,1.1727794,24,61,0.3934,29.6775
Walid Cheddira,MAR,FW,2023,Frosinone,1383,5.7371943,4,0.4746903,1,0.3423228,0.0549353,0.2873875,7,20,0.3500,51.1844
Paulo Dybala,ARG,FW,2023,Roma,1511,9.4009519,12,3.1438195,7,1.8823546,1.0279881,0.8543665,23,56,0.4107,27.5623
Moise Kean,ITA,FW,2023,Juventus,494,2.2231445,,0.1778891,,0.0883359,-0.0086361,0.096972,10,24,0.4167,64.6995
Jesper Karlsson,SWE,WAM,2023,Bologna,325,0.5695415,,0.3236194,,0.180188,0.0507401,0.1294479,5,8,0.6250,40.2142
Christian Kouamé,CIV,FW,2023,Fiorentina,681,1.1392234,1,1.0131679,1,0.4941272,0.4170454,0.0770818,7,21,0.3333,59.6243
Nikola Krstovic,MNE,FW,2023,Lecce,1755,9.2424498,5,0.9364136,,0.0167348,0.1006143,-0.0838795,18,36,0.5000,54.7197
Khvicha Kvaratskhelia,GEO,WAM,2023,Napoli,2177,10.2551411,10,4.9490997,4,3.0215766,0.9271674,2.0944092,74,148,0.5000,49.3201
Chukwubuikem Ikwuemesi,NGA,FW,2023,Salernitana,627,1.751521,1,0.5022658,1,0.0456536,-0.187523,0.2331766,8,18,0.4444,45.0512
Domenico Berardi,ITA,WAM,2023,Sassuolo,1438,7.2240155,9,3.2931269,3,1.7224141,0.9478132,0.7746009,11,25,0.4400,36.3899
Romelu Lukaku,BEL,FW,2023,Roma,2145,10.316974,10,1.4509918,3,0.4835021,-0.2895528,0.7730549,10,23,0.4348,67.2945
Matías Soulé,ARG,WAM,2023,Frosinone,2359,8.1815573,10,4.6104216,2,3.8786348,2.1821074,1.6965274,83,169,0.4911,33.1246
Kaio Jorge,BRA,FW,2023,Frosinone,786,6.5816374,3,0.3039,,-0.1751611,-0.0983539,-0.0768072,5,18,0.2778,34.7726
Andrea Petagna,ITA,FW,2023,Cagliari,996,1.3532461,1,1.3650614,1,0.2618111,0.0615556,0.2002555,11,15,0.7333,60.3738
Lorenzo Colombo,ITA,FW,2023,Monza,1289,4.3261089,4,0.5076823,1,0.2586148,-0.1596926,0.4183074,10,20,0.5000,36.7351
Duván Zapata,COL,FW,2023,Torino,2148,8.9385179,9,1.6384903,4,0.6277299,-0.0114934,0.6392233,25,69,0.3623,67.3482
Demba Seck,SEN,WAM,2023,Torino,427,0.369838,,0.1990583,,0.2808992,0.0312599,0.2496393,7,15,0.4667,32.5948
Mattia Destro,ITA,FW,2023,Empoli,280,1.0370017,,0.0140393,,0.0171365,-0.0289379,0.0460744,1,1,1.0000,41.9925
Roberto Piccoli,ITA,FW,2023,Lecce,868,3.2376501,4,0.3155352,,0.2033681,0.134283,0.0690851,11,21,0.5238,47.4842
Remi Oudin,FRA,WAM,2023,Lecce,1409,1.3953585,3,3.0401885,1,1.0415054,0.8743772,0.1671282,4,8,0.5000,55.4939
Loum Tchaouna,FRA,WAM,2023,Salernitana,1302,2.1114662,2,1.1362339,3,0.9155615,0.3401265,0.575435,10,32,0.3125,32.4915
Alexis Sánchez,CHL,FW,2023,Internazionale,481,1.3118142,1,1.3718469,3,0.4809429,0.4728088,0.0081341,7,10,0.7000,46.8193
Luka Jovic,SRB,FW,2023,Milan,646,4.2954058,5,0.8410215,1,0.1736716,0.2097365,-0.0360649,5,9,0.5556,41.2218
Nicola Sansone,ITA,WAM,2023,Lecce,604,1.6456302,1,0.8090607,2,0.3620048,0.1718256,0.1901792,9,18,0.5000,27.3977
Marcin Listkowski,POL,WAM,2023,Lecce,7,0.0198179,,0.0002438,,0.0013926,0.0017013,-0.0003087,,,,
Arijon Ibrahimovic,DEU,WAM,2023,Frosinone,454,0.8952228,1,0.7839403,1,0.4863761,0.2890731,0.197303,4,10,0.4000,50.0
Samu Castillejo,ESP,WAM,2023,Sassuolo,517,0.3129685,,0.9640956,,0.2013251,0.0026847,0.1986404,8,16,0.5000,38.1516
Sardar Azmoun,IRN,FW,2023,Roma,400,1.7548639,2,0.4131935,,0.2566073,0.1841224,0.0724849,4,9,0.4444,46.2305
Juan Manuel Cruz,ARG,FW,2023,Verona,107,0.0330715,,0.0570279,,0.082417,0.0416003,0.0408167,2,3,0.6667,37.3526
Jonathan Ikoné,FRA,WAM,2023,Fiorentina,1211,3.3823134,1,1.741513,1,0.80393,0.230418,0.573512,15,28,0.5357,31.2737
Alexis Saelemaekers,BEL,WAM,2023,Bologna,1377,2.0601223,1,3.3706873,1,1.3653864,0.8615205,0.5038659,33,77,0.4286,47.9208
M'Bala Nzola,AGO,FW,2022,Spezia,90,,,,,,,,1,8,0.1250,49.4156
Eldor Shomurodov,UZB,FW,2022,Spezia,90,,,,1,,,,4,7,0.5714,47.612
Tio Cipot,SVN,WAM,2022,Spezia,7,,,,,,,,,1,,46.578
Daniele Verde,ITA,WAM,2022,Spezia,37,,,,,,,,,,,
Cyril Ngonge,BEL,WAM,2022,Verona,76,,2,,,,,,1,2,0.5000,45.04
Milan Djuric,BIH,FW,2022,Verona,76,,,,1,,,,,,,83.7027
Adolfo Gaich,ARG,FW,2022,Verona,14,,,,,,,,2,3,0.6667,57.2668
Thomas Henry,FRA,FW,2023,Verona,297,2.8158383,3,0.1074587,,0.0682357,0.0038074,0.0644283,,3,,63.557
Trivante Stewart,JAM,FW,2023,Salernitana,96,0.0699132,,0.0303281,,-0.0239806,-0.0293453,0.0053647,2,3,0.6667,50.6152
Junior Messias,BRA,WAM,2023,Genoa,832,1.1884156,1,0.8188773,,0.8975078,0.4597951,0.4377127,15,29,0.5172,39.7137
Gianluca Lapadula,PER,FW,2023,Cagliari,820,3.2953465,2,0.3255709,,0.0592586,-0.219892,0.2791506,3,5,0.6000,46.0099
Chaka Traorè,CIV,WAM,2023,Milan,18,0.122125,1,0.0078211,,0.0345243,-0.0065634,0.0410877,,,,50.0
Yayah Kallon,SLE,WAM,2023,Verona,3,0.0,,0.0001446,,0.0040888,0.0040888,0.0,,,,
Francesco Camarda,ITA,FW,2023,Milan,12,0.0,,0.0,,0.0,0.0,0.0,,1,,49.1084
Simy,NGA,FW,2023,Salernitana,549,1.4173991,1,0.2197531,,-0.1009231,-0.093194,-0.0077291,1,2,0.5000,53.2452
Farès Ghedjemis,FRA,WAM,2023,Frosinone,175,0.1863094,,0.0744909,,0.0564272,0.0147124,0.0417148,2,7,0.2857,50.0
Keinan Davis,ENG,FW,2023,Udinese,20,0.0153764,,0.0603296,,0.0248489,0.0129263,0.0119226,,1,,53.7546
Giacomo Corona,ITA,FW,2023,Empoli,4,0.0,,0.0003005,,-0.0095511,-0.0099499,0.0003988,,,,
Daniel Maldini,ITA,WAM,2023,Monza,149,1.0126093,3,0.5858301,1,0.2963072,0.1565525,0.1397547,4,6,0.6667,49.2167
Brenner,BRA,FW,2023,Udinese,36,0.0217679,,0.0021802,,-0.0390599,-0.0425832,0.0035233,,1,,
El Bilal Touré,MLI,FW,2023,Atalanta,55,0.6478512,1,0.0601441,,0.0448944,0.0851209,-0.0402265,,2,,53.9447
Alberto Cerri,ITA,FW,2023,Empoli,373,0.9641764,,0.2018167,,0.0819926,0.0844699,-0.0024773,1,6,0.1667,67.55
Santiago Pierotti,ARG,WAM,2023,Lecce,35,0.1444473,,0.0079029,,-0.023376,-0.0163944,-0.0069816,1,3,0.3333,61.8321
Tijjani Noslin,NLD,WAM,2023,Verona,541,1.0507804,2,0.2552433,,0.2730069,-0.0221155,0.2951224,4,8,0.5000,58.3404
Elayis Tavsan,NLD,WAM,2023,Verona,31,0.0,,0.0013336,,0.0067506,-0.0031409,0.0098915,,,,
Demba Seck,SEN,WAM,2023,Frosinone,254,0.332461,,0.463331,,0.2014695,0.0836072,0.1178623,3,7,0.4286,32.5948
Milan Djuric,BIH,FW,2023,Monza,563,0.4944542,,0.1052211,1,-0.0775759,-0.0693038,-0.0082721,1,1,1.0000,80.5614
Alessio Zerbin,ITA,WAM,2023,Monza,143,0.019917,,0.1496736,,0.1259256,0.0393879,0.0865377,3,7,0.4286,37.3881
Cyril Ngonge,BEL,WAM,2023,Napoli,72,0.6311347,2,0.041496,,0.0182073,-0.0165544,0.0347617,1,3,0.3333,51.4705
Andrea Belotti,ITA,FW,2023,Fiorentina,548,1.6329639,1,0.4317678,,0.469963,0.3371444,0.1328186,1,2,0.5000,59.3733
M'Baye Niang,SEN,FW,2023,Empoli,283,3.4692497,3,0.1466681,1,-0.0981976,-0.0637078,-0.0344898,4,6,0.6667,57.266
Vítinha,PRT,FW,2023,Genoa,183,0.544978,1,0.1783114,,0.0394049,-0.02795,0.0673549,1,5,0.2000,40.9951
Jens Odgaard,DNK,FW,2023,Bologna,191,1.1381657,2,0.0467438,,-0.1671648,-0.0484594,-0.1187054,2,5,0.4000,52.8942
David Okereke,NGA,FW,2023,Torino,94,0.2526747,,0.0236483,,0.0543214,-0.0351173,0.0894387,1,2,0.5000,48.5085
Emanuel Vignato,ITA,WAM,2023,Salernitana,26,0.0,,0.0042388,,0.0048746,0.0056735,-0.0007989,,,,
Shon Weissman,ISR,FW,2023,Salernitana,325,0.5989586,1,0.1267264,,-0.0367527,-0.0380616,0.0013089,,1,,28.8427
Hamed Traorè,CIV,WAM,2023,Napoli,293,0.5691851,,0.3403698,,0.4052589,0.3293106,0.0759483,5,9,0.5556,38.5593
Karol Swiderski,POL,FW,2023,Verona,258,1.2495531,1,0.075385,,0.0227769,-0.0088676,0.0316445,3,7,0.4286,43.5707
Stefan Mitrovic,SRB,WAM,2023,Verona,109,0.0,,0.0486356,,0.0897358,0.0364731,0.0532627,2,4,0.5000,50.0
David Ankeye,NGA,FW,2023,Genoa,11,0.0,,0.0,,-0.0007735,0.0,-0.0007735,,1,,
Justin Kumi,ITA,FW,2023,Sassuolo,3,0.0,,0.0005338,,0.0025739,0.0020047,0.0005692,,,,
Santiago Castro,ARG,FW,2023,Bologna,29,0.1185121,,0.0003132,,0.0039876,-0.0116163,0.0156039,,,,59.877
